answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,negative,"@Pascal91973842 @claudelongchamp @StarkePflegeJA @PatrickHaessig @ChrSchumi @nicole_roth_bl @Johanna_OFS Nein, stimmt. BGI war mein letzter ""patzer"". Vaterschaftsurlaub, Ja da war ich dafür.

2021 bin ich aber makellos bis jetzt 😁",nein stimmen bgi letzt patzer vaterschaftsurlaub ja dafür makellos,"{'Nein': 0.06, 'stimmt': 0.07, 'BGI': 0.16, 'war': 0, 'mein': 0.24, 'letzter': 1.0, 'patzer': 0, 'Vaterschaftsurlaub': 0.625, 'Ja': 0, 'da': 0, 'ich': 0.04, 'dafür': 0, 'bin': 0, 'aber': 0.06, 'makellos': 0.14, 'bis': 0, 'jetzt': 0}",negative,"[0.07135204, 0.88713855, 0.041509457]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,RT @ehefueralle_JA: Den Vaterschaftsurlaub gegen die #ehefueralle zu instrumentalisieren ist der komplette Wahnsinn. Es ist unehrlich dem S…,vaterschaftsurlaub ehefueralle instrumentalisieren komplette wahnsinn unehrlich s,"{'Den': 0.08, 'Vaterschaftsurlaub': 0.78, 'gegen': 0.27, 'die': 0.08, 'ehefueralle': 0.53, 'zu': 0.1, 'instrumentalisieren': 0, 'ist': 0.18, 'der': 0.08, 'komplette': 0.77, 'Wahnsinn': 0, 'Es': 0.18, 'unehrlich': 0.62, 'dem': 0.09, 'S': 0.07, '…': 0}",negative,"[0.022311373, 0.93694884, 0.0407398]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Ja Andrea, bim Vaterschaftsurlaub hesch du NEI Gseit! Also Chum jetzt nid mit dere Schiene!
#srfarena",ja andrea bim vaterschaftsurlaub hesch nei gseit chum nid dere schiene srfarena,"{'Ja': 0, 'Andrea': 0.25, 'bim': 0, 'Vaterschaftsurlaub': 0.825, 'hesch': 0, 'du': 0, 'NEI': 0, 'Gseit': 0, 'Also': 0, 'Chum': 0.06, 'jetzt': 0.13, 'nid': 0.04, 'mit': 0.05, 'dere': 0.35, 'Schiene': 0.04, 'srfarena': 0.1}",neutral,"[0.8359561, 0.075058244, 0.08898566]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,"Weil es grade so aktuell ist, @andreas_leupi und ich haben die ganze Thematik zur #Organspende schon vor einiger Zeit im #Kompromist diskutiert.

Ich persönlich sympathisiere noch immer mehr mit der VI als mit dem Gegenvorschlag.

@Swisstransplant 

https://t.co/EwpJK2CaCS",grade aktuell ganze thematik organspende schon zeit kompromist diskutieren persönlich sympathisieren immer mehr vi gegenvorschlag,,,,"{'Weil': 0.12, 'es': 0, 'grade': 0, 'so': 0.05, 'aktuell': 0, 'ist': 0, 'und': 0.1, 'ich': 0.04, 'haben': 0, 'die': 0.04, 'ganze': 0.72, 'Thematik': 0, 'zur': 0.04, 'Organspende': 0.44, 'schon': 0, 'vor': 0, 'einiger': 0.11, 'Zeit': 0.09, 'im': 0, 'Kompromist': 0.27, 'diskutiert': 1.0, 'Ich': 0.04, 'persönlich': 0.1, 'sympathisiere': 0.22, 'noch': 0.06, 'immer': 0, 'mehr': 0.04, 'mit': 0.06, 'der': 0.04, 'VI': 0, 'als': 0, 'dem': 0.04, 'Gegenvorschlag': 0.21}",neutral,"[0.8953391, 0.07118318, 0.033477783]",,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@Angelika_Ruider @patrik_lori @ParlCH #kompromist Nr. 11 handelt u.A. Über die einbürgerung und deren Vereinheitlichung.

Ach ja und Patrik, entscheide dich mal, entweder blockt du mich oder nicht. Aber dein lächerliches hin und her ist nur nervig. 

https://t.co/FDAozuWlWY",kompromist nr handeln u a einbürgerung vereinheitlichung ach ja patrik entscheide mal entweder blockt lächerlich her nervig,,,,,,,"{'kompromist': 0, 'Nr.': 0, 'handelt': 0, 'u.': 0, 'A.': 0, 'Über': 0, 'die': 0, 'einbürgerung': 1.0, 'und': 0.03, 'deren': 0, 'Vereinheitlichung': 0, 'Ach': 0.1, 'ja': 0.03, 'Patrik': 0.03, 'entscheide': 0, 'dich': 0.02, 'mal': 0.04, 'entweder': 0.05, 'blockt': 0, 'du': 0, 'mich': 0.02, 'oder': 0.02, 'nicht': 0.01, 'Aber': 0.1, 'dein': 0.03, 'lächerliches': 0.2, 'hin': 0, 'her': 0, 'ist': 0.03, 'nur': 0, 'nervig': 0.35}",positive,"[0.15748227, 0.011703736, 0.83081406]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,@Johanna_OFS Muss glaubs mal den Weycher Einbürgerungstest sehen 🤪,glaubs mal weycher einbürgerungstest sehen,,,,,,,"{'Muss': 0, 'glaubs': 0, 'mal': 0, 'den': 0.37, 'Weycher': 0.44, 'Einbürgerungstest': 1.0, 'sehen': 0.59, '🤪': 0}",neutral,"[0.9166345, 0.0027966944, 0.08056881]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@ZStadtfux Wie wäre es mit Steuersenkungszielen in der Stadt? Die Stadt ist u.A. Dermassen unattraktiv weil die Steuern eine absolute Hölle sind.,steuersenkungszielen stadt stadt u a dermassen unattraktiv steuern absolut hölle,,,,,,,,,,"{'Wie': 0, 'wäre': 0, 'es': 0.11, 'mit': 0, 'Steuersenkungszielen': 0.495, 'in': 0, 'der': 0.1, 'Stadt': 0.1, 'Die': 0.1, 'ist': 0.11, 'u.': 0, 'A.': 0, 'Dermassen': 0.17, 'unattraktiv': 0.48, 'weil': 0.11, 'die': 0.1, 'Steuern': 0, 'eine': 0, 'absolute': 0.14, 'Hölle': 0.28, 'sind': 0.11}",negative,"[0.41838944, 0.47976288, 0.10184759]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @wg3800ch: #Gsoa, #SP, #Grüne mit Initiative gegen CHer-Luftwaffe. Irreführend und vordergründig bekämpfen sie ein US-Kampfflugzeug. Und…",gsoa sp grüne initiative cher luftwaffe irreführen vordergründig bekämpfen us kampfflugzeug,,,,,,,,,,,,,"{'Gsoa': 0.04, 'SP': 0.02, 'Grüne': 0, 'mit': 0.02, 'Initiative': 0.04, 'gegen': 0.09, 'CHer-Luftwaffe': 0.03, 'Irreführend': 0.17, 'und': 0.18, 'vordergründig': 0, 'bekämpfen': 0, 'sie': 0, 'ein': 0, 'US-Kampfflugzeug': 0.505, 'Und': 0.18, '…': 0}",neutral,"[0.70774704, 0.28222314, 0.010029849]",,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,negative,@Angelika_Ruider Ischränkig vo de freie Marktwirtschaft und es bringt nix. Mir hend scho sehr streng Werbe Regle für Tabak und Alkohol.,ischränkig vo de freie marktwirtschaft bringen nix hend scho strengen werben regeln tabak alkohol,,,,,,,,,,,,,,,,"{'Ischränkig': 0.02, 'vo': 0, 'de': 0, 'freie': 1.0, 'Marktwirtschaft': 0.755, 'und': 0.05, 'es': 0, 'bringt': 0, 'nix': 0, 'Mir': 0, 'hend': 0, 'scho': 0, 'sehr': 0.04, 'streng': 0, 'Werbe': 0.07, 'Regle': 0, 'für': 0.04, 'Tabak': 0.11, 'Alkohol': 0.08}",positive,"[0.005165984, 0.012351714, 0.9824823]",,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,@gohtscho Wil e einheitskasse genau sgegeteil vo freier Marktwirtschaft isch.,wil e einheitskasse genau sgegeteil vo freier marktwirtschaft isch,,,,,,,,,,,,,,,,"{'Wil': 0, 'e': 0.06, 'einheitskasse': 0.15, 'genau': 0, 'sgegeteil': 0, 'vo': 0, 'freier': 0, 'Marktwirtschaft': 0.655, 'isch': 0}",positive,"[0.0028502422, 0.0012514655, 0.9958983]",,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,negative,KK-Beitrag Aufschlag für ungeimpfte? Why Not? Schade haben wir das Kassenobligatorium welches solche Sachen nicht zulässt. In einer freien Marktwirtschaftlichen Versicherungssituation könnten wir das machen. https://t.co/22TpQDm3gQ,kk beitrag aufschlag ungeimpfte why not schaden kassenobligatorium welch sachen zulässt frei marktwirtschaftlichen versicherungssituation,,,,,,,,,,,,,,,,"{'KK-Beitrag': 0.025, 'Aufschlag': 0.03, 'für': 0.02, 'ungeimpfte': 0.08, 'Why': 0.01, 'Not': 0.02, 'Schade': 0, 'haben': 0.01, 'wir': 0, 'das': 0.03, 'Kassenobligatorium': 0, 'welches': 0.02, 'solche': 0.02, 'Sachen': 0.03, 'nicht': 0.02, 'zulässt': 0, 'In': 0.14, 'einer': 0, 'freien': 1.0, 'Marktwirtschaftlichen': 1.0, 'Versicherungssituation': 0.12000000000000001, 'könnten': 0.02, 'machen': 0.03}",positive,"[0.099469535, 0.025048891, 0.8754816]",,,,,,,,,,neutral
75.0,75.0,71.0,0.2749999999999999,negative,"@JFZH @ehefueralle_JA @MarcoBume @MBourgeoisFDP @fdp_zh Das Ja zum absolut übertriebenen und Zwangs Verbots Energiegesetz ist unverständlich!

Wie kann man ein Gesetz unterstützen das einen zwingt funktionierende Wärmeerzeuger per Datum herauszureissen? Liberal geht anders. Umweltschutz erst recht!",ja absolut übertrieben zwangs verbots energiegesetz unverständlich gesetz unterstützen zwingen funktionierend wärmeerzeuger per datum herauszureissen liberal gehen umweltschutz erst recht,,,,,,,,,,,,,,,,,,,"{'Das': 0.03, 'Ja': 0.02, 'zum': 0.035, 'absolut': 0.03, 'übertriebenen': 0.04, 'und': 0.02, 'Zwangs': 0.07, 'Verbots': 0, 'Energiegesetz': 0.085, 'ist': 0.08, 'unverständlich': 0.19, 'Wie': 0, 'kann': 0.03, 'man': 0, 'ein': 0, 'Gesetz': 0.1, 'unterstützen': 0.06, 'das': 0.03, 'einen': 0.02, 'zwingt': 0.05, 'funktionierende': 0, 'Wärmeerzeuger': 0.08, 'per': 0, 'Datum': 0.05, 'herauszureissen': 0.03, 'Liberal': 0.1, 'geht': 0, 'anders': 0.14, 'Umweltschutz': 1.0, 'erst': 0, 'recht': 0.1}",positive,"[0.0022046866, 0.0061748233, 0.99162054]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @NussbaumRoy: früher war die Sozialdemokratie staatstragend,
heute:
- gegen Landesverteidigung 
- gegen KMU (99% Initiative)
- JUSO Utop…",früh sozialdemokratie staatstragend heute landesverteidigung kmu initiative juso utop,,,,,,,,,,,,,,,,,,,,,,"{'früher': 0, 'war': 0, 'die': 0.05, 'Sozialdemokratie': 0.21, 'staatstragend': 0.1, 'heute': 0.29, 'gegen': 0.58, 'Landesverteidigung': 0.8, 'KMU': 0, 'Initiative': 0.34, 'JUSO': 0.12, 'Utop': 0.13, '…': 0}",neutral,"[0.6744607, 0.019291474, 0.30624774]",,,,neutral
50.0,75.0,57.0,0.0,neutral,@Schneimere @cedricwermuth Landwirtschaft kenn ich nur vom Ferienjob in der Jugend😁 War eine coole Zeit (dafür kann ich als Städter wenigstens Melken🤪),landwirtschaft kenn ferienjob jugend coole zeit dafür städter wenigstens melken,,,,,,,,,,,,,,,,,,,,,,,,,"{'Landwirtschaft': 1.0, 'kenn': 1.0, 'ich': 0.05, 'nur': 0.48, 'vom': 0.53, 'Ferienjob': 0.115, 'in': 0, 'der': 0, 'Jugend': 0, 'War': 0, 'eine': 0, 'coole': 0, 'Zeit': 0, 'dafür': 0, 'kann': 0, 'als': 0, 'Städter': 0, 'wenigstens': 0, 'Melken': 0, '🤪': 0}",neutral,"[0.98604244, 0.011611092, 0.002346412]",neutral
